,hsa-miR-585-5p,hsa-miR-148a-3p,hsa-miR-585-3p,hsa-miR-455-3p,hsa-miR-17-5p,hsa-miR-6513-3p,hsa-miR-2114-3p,hsa-miR-5680,hsa-miR-195-3p,hsa-miR-6861-3p,hsa-miR-3663-5p,hsa-miR-106a-5p,hsa-miR-148b-5p,hsa-miR-142-3p,hsa-miR-1269a,hsa-miR-3925-3p,hsa-let-7f-5p,hsa-miR-2355-3p,hsa-let-7a-5p,hsa-miR-4431,hsa-miR-1249,hsa-miR-148b-3p,hsa-miR-140-5p,hsa-miR-195-5p,hsa-miR-7157-5p,hsa-miR-1294,hsa-miR-29a-3p,hsa-miR-4687-5p,hsa-miR-4699-5p,hsa-miR-676-3p,hsa-miR-34b-3p,hsa-miR-3942-5p,hsa-miR-877-3p,hsa-miR-30d-3p,hsa-miR-1227-3p,hsa-miR-4324,hsa-miR-129-2-3p,hsa-miR-130a-5p,hsa-miR-26b-5p,hsa-miR-455-5p,hsa-miR-6513-5p,hsa-miR-196b-5p,hsa-miR-10b-3p,hsa-miR-6795-3p,hsa-miR-30c-2-3p,hsa-miR-152-3p,hsa-miR-4661-5p,hsa-miR-4787-3p,hsa-miR-2682-3p,hsa-miR-6760-3p,hsa-miR-3617-5p,hsa-miR-509-5p,hsa-miR-10b-5p,hsa-miR-4709-3p,hsa-miR-345-3p,hsa-miR-518b,hsa-miR-30a-5p,hsa-miR-2115-5p,hsa-miR-4500,hsa-miR-27b-3p,hsa-miR-346,hsa-let-7i-5p,hsa-miR-6794-3p,hsa-miR-10a-3p,hsa-miR-6882-3p,hsa-miR-6734-5p,hsa-miR-24-1-5p,hsa-miR-6891-5p,hsa-miR-26a-2-3p,hsa-miR-4525,hsa-miR-6846-3p,hsa-miR-99a-3p,hsa-miR-448,hsa-miR-3941,hsa-miR-3074-3p,hsa-miR-4694-5p,hsa-miR-4679,hsa-miR-30a-3p,hsa-miR-4804-3p,hsa-miR-493-3p,hsa-miR-520c-3p,hsa-miR-520b,hsa-miR-1291,hsa-miR-487a-3p,hsa-miR-3680-3p,hsa-miR-515-3p,hsa-miR-106b-5p,hsa-miR-618,hsa-miR-516b-5p,hsa-miR-6849-3p,hsa-miR-6826-3p,hsa-miR-1827,hsa-miR-3943,hsa-miR-192-5p,hsa-miR-6808-3p,hsa-miR-2110,hsa-miR-146b-5p,hsa-miR-210-3p,hsa-miR-520h,hsa-miR-3186-5p,hsa-miR-6726-3p,hsa-miR-508-5p,hsa-miR-27b-5p,hsa-miR-486-3p,hsa-miR-486-5p,hsa-miR-511-5p,hsa-miR-26a-1-3p,hsa-let-7g-5p,hsa-miR-6888-3p,hsa-miR-10a-5p,hsa-miR-454-3p,hsa-miR-425-3p,hsa-miR-9-3p,hsa-miR-6859-3p,hsa-miR-7114-3p,hsa-miR-504-5p,hsa-miR-4650-3p,hsa-miR-518c-3p,hsa-miR-6858-5p,hsa-miR-6880-5p,hsa-miR-23c,hsa-miR-3191-3p,hsa-miR-378i,hsa-miR-548aw,hsa-miR-6803-3p,hsa-miR-26b-3p,hsa-miR-1228-3p,hsa-miR-31-3p,hsa-miR-183-5p,hsa-miR-6515-3p,hsa-miR-3139,hsa-miR-3656,hsa-miR-146b-3p,hsa-miR-6510-3p,hsa-miR-5582-5p,hsa-miR-4721,hsa-miR-4646-3p,hsa-miR-6764-3p,hsa-miR-30b-5p,hsa-miR-3127-5p,hsa-miR-668-3p,hsa-miR-497-3p,hsa-miR-5587-5p,hsa-miR-34c-3p,hsa-miR-4532,hsa-miR-4685-3p,hsa-miR-4659a-5p,hsa-miR-4659b-3p,hsa-miR-100-3p,hsa-miR-616-3p,hsa-miR-155-5p,hsa-miR-3168,hsa-miR-485-3p,hsa-miR-7977,hsa-miR-940,hsa-miR-548ab,hsa-miR-1271-5p,hsa-miR-329-3p,hsa-miR-7156-5p,hsa-miR-1225-3p,hsa-miR-1301-3p,hsa-miR-3663-3p,hsa-miR-6761-5p,hsa-miR-5089-3p,hsa-miR-3151-5p,hsa-miR-1914-5p,hsa-miR-4517,hsa-miR-627-5p,hsa-miR-6504-3p,hsa-miR-27a-3p,hsa-miR-6797-3p,hsa-miR-2682-5p,hsa-miR-6858-3p,hsa-miR-323a-5p,hsa-miR-6871-3p,hsa-miR-4454,hsa-miR-942-5p,hsa-miR-16-5p,hsa-miR-6833-3p,hsa-miR-2116-5p,hsa-miR-6887-5p,hsa-miR-6810-3p,hsa-miR-510-5p,hsa-miR-6852-3p,hsa-miR-122-3p,hsa-miR-140-3p,hsa-miR-629-5p,hsa-miR-3591-5p,hsa-miR-376a-2-5p,hsa-miR-6849-5p,hsa-miR-146a-5p,hsa-miR-939-5p,hsa-miR-519d-3p,hsa-miR-197-3p,hsa-miR-3929,hsa-miR-98-5p,hsa-miR-124-5p,hsa-miR-298,hsa-miR-6800-5p,hsa-miR-581,Disese Group
sample_37,6.5,35174.33,74.5,324.5,1087.0,20.0,6.0,7.0,51.0,2.0,0.0,10.0,244.0,3169.25,5.0,3.0,899523.31,36.0,1672968.6,0.0,17.0,31653.0,4826.0,10495.75,3.0,31.5,329443.17,1.0,2.0,43.0,26.0,1.0,8.0,724.0,2.0,4.67,2921.25,29.0,363865.92,1080.5,3.0,0.0,2.0,0.0,2489.0,12501.83,1.0,20.0,44.0,11.0,78.5,4.0,29.0,1.0,18.0,16.0,215931.67,2.0,0.33,70755.08,175.0,138315.67,27.0,0.0,3.0,10.5,13.83,2.0,447.0,7.0,0.0,1572.5,42.0,0.0,13.5,0.0,4.0,33832.0,1.0,1100.33,0.33,0.33,134.58,308.0,0.66,1.0,407.5,76.0,6.0,2.0,1.0,0.0,205.0,40491.83,3.0,648.0,10209.5,8811.75,2.0,0.0,28.0,10.0,256.83,1306.24,1306.24,1.0,48.0,159854.42,10.0,17.0,10672.67,1978.0,306147.85,3.0,0.0,1102.17,0.0,3.5,2.0,0.0,4.0,0.5,0.0,47.0,48.5,432.0,6.0,556.5,1385011.5,10.0,1.0,0.0,122.0,0.0,0.0,0.0,5.0,4.0,43196.5,127.0,90.0,32.0,1.5,10.0,2.17,1.0,0.5,0.5,82.0,25.0,561.0,0.0,2461.5,14.0,6.0,2.5,473.0,1838.84,9.0,2.0,1808.67,3.0,19.0,2.0,7.0,7.0,0.0,47.5,0.0,7638.25,0.0,12.0,1.0,22.0,1.0,4.0,91.5,447671.66,11.0,25.0,3.0,1.0,2.0,0.0,38.0,21799.58,1350.0,38.0,180.0,0.0,6589.0,5.0,1.0,1538.0,4.0,17514.92,7658.62,0.0,1.0,2.0,0
sample_38,1.0,31688.0,45.0,379.0,1118.0,10.0,0.0,7.0,78.0,3.5,7.0,10.5,349.0,1251.0,8.0,3.0,982140.39,36.5,1971327.19,3.0,24.0,44660.33,4570.0,11202.0,1.0,28.0,310049.83,3.0,0.5,29.0,18.0,5.0,45.25,840.25,1.33,3.33,5329.58,14.0,468800.17,966.0,2.0,5.0,1.0,0.0,2665.17,12495.0,0.0,21.0,26.0,10.58,139.0,2.0,116.0,3.0,12.0,7.0,177197.0,3.0,1.25,87690.67,182.0,141341.5,52.5,0.0,12.5,19.0,15.5,1.0,524.5,16.5,3.0,1218.0,33.0,2.0,14.5,0.0,2.0,32029.75,12.0,675.67,0.25,0.25,174.33,193.0,0.66,0.0,383.5,73.0,5.0,2.0,3.0,0.0,115.0,46535.25,0.0,836.0,9591.5,9271.25,1.5,0.0,64.0,4.0,228.0,1814.34,1814.34,0.0,72.0,170787.42,13.0,32.0,19109.17,3030.83,313291.57,3.75,3.33,1282.33,0.0,2.0,0.0,0.0,1.0,1.5,1.0,53.75,119.5,374.0,8.0,168.0,3202405.33,33.0,0.0,0.0,141.83,0.0,0.0,0.0,14.83,8.0,34589.33,219.0,132.0,15.0,0.0,8.0,0.58,9.0,0.75,0.75,60.0,27.08,1123.0,0.58,4094.33,14.0,5.0,5.5,603.83,2290.34,7.0,0.0,3700.83,7.0,25.0,0.0,15.0,7.0,1.0,99.0,0.0,4554.17,2.0,16.0,1.0,44.0,0.0,4.0,125.0,689243.5,18.83,19.0,1.0,3.0,1.0,0.83,26.0,21983.0,1372.5,26.0,72.0,1.0,4735.5,2.58,1.0,2290.83,5.0,19018.25,8736.36,0.0,1.0,9.0,0
sample_39,7.0,21105.33,108.0,214.0,651.33,7.0,4.0,12.0,42.0,1.0,2.0,12.83,187.0,1759.5,7.0,0.0,1028689.31,30.75,1665552.5,1.0,23.0,30615.67,2833.75,6731.5,3.0,17.0,392996.25,0.0,0.0,51.0,17.0,2.0,20.83,760.42,1.33,6.67,2635.25,26.0,311624.0,855.0,2.0,0.0,0.0,0.0,3499.67,9764.17,1.0,31.0,60.0,4.0,42.5,4.0,22.0,6.0,12.0,4.0,279148.17,4.0,0.67,61344.33,130.0,126726.08,26.5,0.0,4.0,13.5,8.0,0.0,413.5,6.0,1.0,1263.0,43.5,0.0,8.0,0.0,3.0,41794.08,3.0,835.17,1.0,1.0,122.33,155.0,0.0,1.0,299.5,65.5,2.0,1.0,0.0,0.0,191.33,40677.33,2.0,635.0,13283.25,8950.33,1.5,0.0,19.0,4.0,133.5,1614.66,1612.66,1.0,48.0,92607.83,11.0,29.0,8284.67,2123.5,196987.98,1.5,2.0,1158.0,0.0,6.0,1.0,0.0,3.0,1.0,1.5,35.75,64.0,256.0,8.0,389.0,1807706.25,16.5,1.0,0.0,160.33,0.0,0.0,0.0,2.83,7.0,34098.67,160.0,89.0,30.5,2.0,11.0,0.0,13.0,0.0,0.0,52.0,24.0,768.0,1.0,3016.0,8.0,7.0,4.5,442.0,1181.66,9.0,0.0,1813.92,1.0,38.0,0.0,3.0,6.0,0.0,38.5,0.0,4414.92,0.0,21.0,1.0,11.0,1.0,3.0,88.0,458183.5,11.5,23.0,1.5,2.0,1.0,0.25,42.5,25982.08,1329.0,42.5,99.0,0.0,4989.83,4.67,0.0,1520.5,3.0,10513.83,8710.62,0.0,0.0,8.0,0
sample_40,4.0,23901.0,47.0,253.5,1182.5,9.0,1.0,3.0,48.0,2.0,3.0,9.0,258.0,857.0,4.0,0.0,548922.74,21.0,994403.21,2.0,15.0,42798.17,4733.83,6155.5,2.0,19.0,309952.5,1.0,0.0,31.0,6.0,2.0,12.0,1375.33,0.0,3.33,1589.42,27.0,318421.5,516.0,2.0,1.0,0.0,1.0,1656.67,11317.83,0.0,13.0,7.5,2.5,69.0,0.0,9.0,5.0,15.0,15.0,138816.17,3.0,0.0,123729.25,102.5,76833.5,24.5,7.0,4.0,5.0,4.5,0.0,780.0,4.0,0.0,1620.5,68.0,0.0,4.5,1.0,2.0,23578.5,8.0,400.5,0.0,0.0,124.0,108.5,0.0,0.0,225.83,21.0,0.0,1.0,3.0,0.0,49.0,47465.92,3.0,285.0,3083.0,14741.25,0.5,0.0,59.0,1.0,117.5,431.84,428.84,1.0,42.0,129887.75,2.0,221.0,9336.5,1873.5,221863.47,6.75,1.0,823.0,0.0,7.0,0.0,0.0,4.0,0.0,0.0,73.25,71.5,450.5,7.0,286.0,1238772.25,14.0,2.0,0.0,47.83,0.0,0.0,0.0,5.33,6.5,51928.0,68.0,52.0,46.5,0.0,1.0,0.5,0.0,0.0,0.0,48.0,18.0,231.0,0.33,3342.0,5.0,0.0,3.5,205.0,842.5,0.0,0.0,1333.5,4.0,21.0,0.0,2.0,9.0,0.0,63.83,0.0,6562.5,0.0,9.0,1.0,1.0,2.0,2.0,67.5,473641.84,2.0,21.0,1.0,2.0,1.0,0.0,15.5,21021.25,863.0,15.5,96.33,0.0,3281.0,0.0,0.0,724.0,1.0,7293.0,10564.85,1.0,0.0,3.0,0
sample_41,6.0,25921.5,42.0,245.0,1100.0,14.0,3.5,5.0,89.0,4.5,16.0,15.0,381.5,1308.0,7.0,2.0,809348.15,59.5,1278626.4,3.0,47.0,50796.83,7188.5,5684.92,7.5,20.5,320475.33,1.0,0.0,70.0,44.0,1.0,41.5,1314.25,5.0,12.33,2816.42,10.0,474000.42,519.5,3.0,5.0,5.0,1.0,2735.33,17835.17,1.0,37.0,3.0,10.58,116.0,3.0,59.0,7.0,21.0,14.0,128714.67,7.0,1.92,190905.75,236.0,145642.17,64.5,4.0,10.0,32.67,6.33,3.0,1324.0,12.0,1.0,1267.0,24.0,0.0,6.0,0.0,1.0,29166.83,8.0,408.75,0.67,0.67,230.33,200.83,0.0,0.0,193.0,57.0,2.0,2.0,4.0,0.0,105.0,59583.92,3.0,970.0,3369.33,30864.5,1.0,0.0,139.5,3.0,187.5,930.49,929.49,8.0,102.0,185972.67,6.0,31.0,15166.0,3398.5,189159.2,6.0,2.0,1242.33,0.0,7.0,0.0,0.0,3.0,1.0,1.0,101.25,124.0,568.83,11.0,146.0,1826954.08,7.0,0.0,0.0,105.75,0.0,0.0,0.0,12.5,4.33,38890.67,121.0,220.0,19.0,0.0,9.0,1.25,6.0,0.5,0.5,88.0,13.0,905.0,0.0,7414.5,14.0,1.0,1.5,248.83,1825.84,3.0,2.0,4523.83,17.0,38.0,2.0,37.0,23.0,0.0,121.33,0.0,11893.75,0.0,10.0,3.25,73.0,0.0,2.0,115.5,622261.84,9.0,28.0,0.0,3.0,0.0,0.5,11.0,32255.42,1347.5,11.0,168.5,0.0,5641.0,0.5,0.0,1624.17,4.0,11418.33,9929.52,0.0,0.0,7.0,1
sample_42,10.0,26024.0,44.0,235.0,1532.0,10.0,3.0,14.0,97.0,1.0,13.0,13.0,387.0,1475.5,6.0,4.0,1106769.64,67.5,1473476.69,1.0,38.33,59170.33,8703.33,6698.17,3.0,18.0,421321.08,0.0,1.0,100.0,28.0,5.0,26.33,1612.75,3.0,9.0,3945.25,9.0,514790.5,491.0,1.0,0.0,3.0,0.0,3041.08,17532.17,2.0,25.0,11.0,9.5,119.0,2.0,30.5,4.0,26.0,16.0,185114.0,4.0,3.0,235243.25,165.0,184815.67,49.5,1.0,12.0,19.5,9.5,1.0,1307.83,9.33,0.0,1821.0,17.0,0.0,9.5,1.0,0.0,38522.92,1.0,466.83,0.92,0.92,232.25,214.0,0.66,2.0,224.5,58.5,0.0,5.0,26.0,0.0,93.0,74609.25,1.0,963.0,3195.83,39606.5,0.0,0.0,52.5,1.0,187.0,1157.34,1157.34,2.0,138.0,264127.25,3.0,16.5,18062.83,3781.83,238110.38,8.25,2.0,795.33,1.0,5.0,0.0,0.5,3.0,1.0,2.0,175.25,81.33,691.5,10.0,185.0,1689335.25,11.0,0.0,0.0,88.0,1.0,1.0,1.0,11.0,10.0,55546.08,154.0,192.5,28.0,0.0,17.0,0.92,6.0,1.0,1.0,73.0,29.83,844.0,1.0,6121.5,9.0,1.0,1.5,307.83,2486.34,4.0,0.0,4836.08,2.0,28.0,1.0,34.0,17.5,0.0,147.83,1.0,16755.58,1.0,7.0,1.0,88.0,1.0,2.0,111.0,685106.34,3.5,18.0,0.0,1.0,1.0,0.25,6.0,48224.0,1465.5,6.0,239.0,0.0,8187.5,0.5,1.0,1450.67,6.0,14721.58,11130.34,0.0,0.0,2.0,1
sample_43,12.5,34862.0,57.5,292.5,2095.83,12.0,4.0,10.0,75.0,1.0,5.0,18.83,475.0,1165.5,8.0,3.0,766250.48,53.5,1288680.22,0.0,39.0,54186.33,8627.83,5702.83,1.0,19.0,386260.67,1.0,0.0,70.0,16.0,2.0,19.5,1552.08,7.5,6.67,2456.58,13.0,420249.83,506.0,5.0,2.0,1.0,1.0,2133.08,17893.5,1.0,26.0,15.0,9.33,95.0,1.0,23.0,4.0,12.0,27.0,147548.0,4.0,2.92,230899.33,196.0,134783.08,36.0,0.0,4.0,14.5,9.5,0.0,933.5,9.0,0.0,1521.0,26.0,0.0,9.5,0.0,0.0,32859.83,5.0,418.67,0.67,0.67,205.33,208.5,0.0,4.0,232.33,52.0,4.0,3.0,1.0,0.0,91.0,66674.75,3.0,491.0,2810.5,29874.5,1.5,2.0,103.0,1.0,182.5,728.34,728.34,1.0,77.0,174223.33,2.0,12.0,14724.5,3003.33,195611.58,5.25,2.5,1855.0,0.0,13.5,0.0,0.0,1.0,1.0,0.0,60.75,72.0,580.0,8.0,276.0,1902586.58,6.0,1.0,0.0,88.0,0.0,0.0,0.0,6.5,8.0,54698.0,82.33,147.0,18.5,2.0,2.0,0.33,4.0,0.5,0.5,72.0,11.0,818.0,0.83,4641.0,6.0,2.0,2.5,264.0,1591.66,3.0,1.0,3001.83,3.0,9.0,0.0,5.0,9.0,0.0,106.33,0.0,11331.08,1.0,12.0,0.5,55.0,0.5,2.0,58.0,703260.16,6.5,11.0,0.0,4.0,0.0,1.0,14.5,31326.67,1006.0,14.5,211.0,0.0,6491.83,2.67,1.0,1009.67,15.0,11245.42,10727.59,0.0,0.0,8.0,1
sample_44,6.0,14291.33,133.0,143.0,865.0,4.0,0.0,13.0,40.0,5.0,4.0,8.0,247.0,992.75,10.0,2.0,905721.06,58.5,1134429.83,4.0,47.0,38586.5,3106.5,3895.33,3.0,12.0,410805.42,0.0,0.0,27.0,7.0,1.0,34.58,732.17,2.0,4.5,5846.08,6.0,276728.67,535.5,0.0,0.0,2.0,1.0,2175.08,9071.33,1.0,13.0,17.0,7.5,340.5,1.0,27.0,2.0,17.0,2.0,218037.67,1.0,1.0,68978.83,164.0,133460.5,31.5,0.0,10.0,3.5,12.25,1.0,395.5,2.0,4.0,902.0,20.0,0.0,11.75,0.0,0.0,29006.83,5.0,449.5,0.33,0.33,77.25,169.0,0.5,0.0,378.0,75.5,8.0,1.0,0.0,0.0,148.0,43090.58,0.0,472.0,5766.83,9395.0,1.5,0.0,34.0,3.0,103.0,1961.16,1961.16,1.0,31.0,102279.0,11.0,26.0,11313.83,2812.0,136209.83,3.0,1.0,403.33,0.0,2.0,2.0,0.0,3.0,0.5,1.0,62.0,83.5,196.5,2.0,133.0,2436256.0,24.0,0.0,0.0,44.0,0.0,0.0,1.0,10.92,6.0,28927.75,89.5,33.0,10.0,1.0,5.0,0.33,2.0,0.0,0.0,17.0,23.5,1461.0,0.0,4465.5,7.0,5.0,1.5,488.33,2135.0,9.0,0.0,2540.58,7.0,29.0,2.0,5.0,9.0,0.0,57.5,0.0,4394.08,0.0,12.0,1.5,55.0,0.0,2.0,86.5,430216.16,7.5,11.0,0.0,2.0,0.0,1.25,17.0,24458.0,1203.0,17.0,79.0,0.0,3207.5,0.5,0.0,1633.83,4.0,13407.42,8208.64,0.0,0.0,8.0,1
sample_46,18.5,21714.0,66.5,279.5,1404.0,10.0,2.0,13.0,72.0,2.25,6.0,11.0,307.0,1057.5,13.0,4.0,777153.81,50.5,1104152.52,0.0,41.0,45424.58,8078.83,6541.0,2.0,32.0,396716.42,0.0,0.0,46.0,21.0,3.0,27.0,1449.67,4.0,13.83,4355.42,4.5,450460.17,420.33,4.0,3.0,1.0,0.0,2351.75,16682.83,1.0,37.0,9.0,14.0,304.5,4.0,34.0,6.0,20.0,33.0,141212.83,1.0,1.67,226807.0,149.0,132964.83,46.5,10.0,7.0,21.83,8.5,1.0,1494.67,8.0,2.0,2036.0,26.5,0.0,7.0,0.0,0.0,31186.67,7.0,416.58,1.33,1.33,311.25,199.0,0.0,0.0,216.5,49.5,1.0,1.5,4.0,0.0,69.5,62306.58,3.0,740.5,2554.75,38113.0,0.5,1.0,57.0,3.5,167.0,740.58,739.58,0.0,110.5,205149.17,6.0,162.0,13701.5,3325.5,212058.11,2.25,2.5,1056.17,0.0,11.0,0.0,0.0,5.0,0.0,1.0,90.5,105.0,644.0,7.0,231.5,1407954.92,15.0,1.0,0.0,70.0,0.0,0.0,0.0,13.17,5.0,62252.42,79.0,180.0,35.0,0.0,6.0,0.0,3.0,0.5,0.5,53.0,21.0,897.0,1.0,6810.5,13.0,4.0,3.5,243.83,2236.84,0.0,0.0,3309.0,7.0,15.5,0.0,18.0,9.0,0.0,158.0,0.0,18764.42,1.0,6.0,2.5,63.0,1.0,2.0,151.0,584983.66,3.0,24.0,0.0,4.0,0.0,0.0,14.0,37261.58,1166.5,14.0,212.0,0.0,5386.0,1.0,2.0,1436.0,3.0,12192.67,11503.83,0.0,0.0,8.0,1
sample_47,4.0,27506.5,23.0,184.5,1798.5,5.0,3.0,11.0,78.0,0.5,5.0,15.5,381.0,1320.5,2.5,1.0,775382.56,44.5,1268156.49,2.0,11.0,57867.83,6734.33,6287.5,2.0,30.0,395553.17,0.0,0.0,40.0,6.0,4.0,14.0,1624.75,0.0,5.33,3392.08,8.0,438116.0,407.0,5.0,5.0,0.0,0.0,1805.42,13610.33,1.0,25.0,14.0,6.0,600.5,0.0,10.0,2.0,30.0,10.0,152073.0,6.0,2.75,161068.92,153.0,133958.08,50.0,0.0,1.5,13.0,8.5,0.0,1301.83,0.0,2.0,1639.5,48.0,1.0,8.5,0.0,2.0,26154.67,4.0,472.83,1.0,1.0,151.25,151.0,0.0,3.0,377.0,64.5,4.0,1.0,0.0,0.0,79.0,62941.58,2.0,388.0,3191.5,33794.75,0.0,0.0,69.0,0.0,166.83,574.5,573.5,2.0,75.0,209401.58,2.0,6.0,15689.33,3325.0,242291.08,5.25,0.0,736.0,0.0,9.0,0.0,0.0,4.0,0.0,0.0,119.0,63.5,597.0,4.0,164.0,1835863.83,6.0,2.0,0.0,46.0,0.0,0.0,0.0,2.5,4.0,63746.0,103.5,75.0,20.0,1.0,3.0,1.08,3.0,0.5,0.5,56.0,9.0,1104.0,0.67,3745.0,8.0,1.0,3.0,362.83,1598.34,0.0,1.0,2540.33,3.0,22.0,2.0,7.0,9.0,0.0,180.0,0.0,11775.58,0.0,7.0,0.33,28.0,0.0,1.0,79.5,557782.0,7.0,11.0,1.0,1.0,0.0,0.25,8.25,33585.83,1271.0,8.25,177.0,0.0,4697.0,1.17,3.0,1008.08,10.0,14948.83,15214.26,0.0,0.0,5.0,1
sample_48,22.0,23915.0,149.0,197.0,1615.33,7.0,2.0,11.0,64.0,2.33,9.0,13.33,407.0,1249.0,1.0,1.0,846246.48,41.5,1476603.36,0.0,26.0,62314.67,7558.5,5258.83,2.0,24.0,404798.5,0.0,1.0,51.0,9.0,5.0,27.25,1528.75,1.33,2.33,3704.75,8.0,507732.0,449.5,2.0,2.0,1.0,0.0,2168.42,14837.33,0.0,21.5,13.0,3.5,371.0,1.0,46.0,3.0,10.0,13.0,157991.0,4.0,1.58,155624.67,110.0,131229.83,46.0,1.0,4.5,13.25,4.5,0.0,1250.67,10.0,0.0,1536.0,33.0,0.0,4.5,0.0,1.0,24009.5,5.0,376.0,0.58,0.58,115.0,122.0,0.0,1.5,357.0,46.33,3.0,0.0,3.0,0.0,96.0,75057.92,3.0,431.0,3542.33,31897.58,1.0,0.0,82.0,0.0,150.5,542.84,541.84,1.0,82.0,219522.42,2.0,37.0,19834.83,4010.92,255686.07,2.25,1.5,1255.17,1.0,9.0,0.0,0.0,2.0,0.0,2.0,79.0,118.5,644.5,4.83,254.0,2286328.58,15.0,1.0,0.0,57.0,0.0,0.0,0.0,8.17,2.25,65661.83,110.0,93.0,19.0,0.0,3.0,0.0,5.0,1.0,1.0,79.0,18.17,675.33,0.33,4289.5,16.0,2.0,5.5,487.17,1560.34,3.0,1.0,3139.58,6.0,25.0,2.0,8.0,13.0,0.0,168.33,0.0,9158.17,2.0,7.0,2.0,21.0,0.0,1.0,118.5,759293.0,4.0,13.0,0.0,2.0,0.0,0.25,19.5,29005.17,1414.0,19.5,161.0,0.0,4426.5,1.5,5.0,1389.83,5.0,14904.67,12384.05,0.0,0.0,8.0,1
sample_49,28.0,43013.0,106.0,704.0,3044.0,24.0,8.0,20.0,104.0,1.5,8.0,23.0,543.0,1668.5,23.0,4.0,1025139.14,56.0,1496229.11,2.0,29.0,77270.0,10857.0,8321.5,4.0,72.75,593074.83,0.0,1.0,92.0,18.0,2.0,22.83,2244.33,9.5,8.33,2947.33,24.0,680836.33,779.0,4.0,5.0,2.0,0.0,2527.58,29353.5,0.0,35.0,8.0,6.0,180.33,4.0,23.0,8.5,23.0,15.0,246366.5,4.0,0.67,328692.92,217.0,170024.17,55.5,1.0,3.5,16.58,16.0,0.0,2350.17,11.0,0.0,3010.5,55.0,0.0,16.0,1.0,0.0,48310.75,6.0,670.5,2.17,2.17,136.0,276.0,0.66,5.0,480.0,108.0,5.0,2.0,1.0,0.0,80.0,98125.08,3.0,441.0,5145.0,54622.08,3.5,1.0,91.0,0.0,321.5,470.84,470.84,6.0,159.67,323390.33,1.0,8.0,20832.5,5223.5,414442.12,3.75,0.0,756.0,1.0,21.33,0.0,0.0,2.0,0.5,0.0,200.0,92.0,1101.83,8.5,421.0,1816107.58,17.0,3.0,0.0,77.5,0.0,0.0,0.0,9.67,5.0,137135.67,85.0,96.0,37.0,0.0,8.0,0.25,4.0,0.67,0.67,94.0,21.33,868.0,0.0,4113.5,11.0,2.0,4.0,352.0,2210.34,6.0,1.0,3263.92,7.0,24.0,0.0,12.5,7.0,0.0,253.33,0.0,29721.92,3.0,1.0,1.0,36.0,3.0,2.0,99.5,699231.16,9.0,19.0,0.0,4.0,1.0,1.33,25.0,45349.33,1745.5,25.0,291.0,0.0,9745.83,0.67,3.0,1126.0,8.0,18559.75,18241.47,0.0,0.0,6.0,1
sample_50,19.5,25056.5,59.5,432.5,2421.5,16.0,8.0,9.0,89.5,1.33,6.0,18.5,465.0,1076.0,0.0,1.0,711969.73,56.5,1028619.51,1.0,27.0,64383.75,9717.0,8185.33,3.0,30.5,607294.0,0.0,0.0,82.0,25.0,4.0,24.33,2461.0,7.0,13.83,4670.0,22.0,537576.33,627.0,5.0,4.0,1.0,1.0,2274.92,19458.17,0.0,26.0,13.0,6.5,177.0,4.0,29.0,8.0,32.0,65.0,188156.0,1.0,1.0,269311.0,177.0,103892.25,61.5,1.0,5.5,20.08,7.08,1.33,2230.67,6.0,3.0,3080.5,36.0,0.0,7.08,0.0,2.0,45401.67,6.0,381.83,1.92,1.92,280.67,228.0,0.0,5.0,454.0,49.5,5.0,1.0,3.0,0.0,69.0,91983.42,4.0,439.0,3514.25,58649.5,6.0,0.0,68.0,0.0,262.0,461.66,459.66,2.0,148.83,218473.08,3.0,12.0,14945.0,3897.5,270767.88,8.25,1.0,581.5,0.0,58.5,1.0,0.0,2.0,0.5,0.0,257.0,135.83,948.0,4.0,521.5,1464571.0,13.0,2.0,0.0,66.0,0.0,0.0,0.0,5.83,11.75,162002.42,62.0,93.0,55.5,0.0,4.0,1.58,3.0,0.75,0.75,96.0,14.5,506.0,0.5,5015.5,7.0,0.0,5.5,293.0,2359.0,1.0,0.5,2505.67,5.0,28.0,1.0,15.0,4.0,0.0,284.0,0.0,29139.08,1.0,9.0,0.0,40.0,0.0,1.0,96.0,741938.5,8.0,17.0,0.0,3.0,1.0,0.25,20.0,41383.33,1167.5,20.0,279.0,0.0,6205.0,0.83,9.0,993.67,2.0,11348.42,26536.1,0.0,0.0,11.0,1
