,hsa-miR-585-5p,hsa-miR-448,hsa-miR-10a-5p,hsa-miR-148b-5p,hsa-miR-17-5p,hsa-miR-6513-3p,hsa-miR-6861-3p,hsa-let-7c-5p,hsa-miR-888-5p,hsa-miR-1271-5p,hsa-miR-92a-3p,hsa-miR-98-5p,hsa-miR-484,hsa-miR-30b-5p,hsa-miR-425-3p,hsa-miR-4429,hsa-miR-615-3p,hsa-let-7a-5p,hsa-miR-193b-5p,hsa-miR-455-3p,hsa-miR-5680,hsa-miR-1249,hsa-miR-30a-5p,hsa-miR-106a-5p,hsa-miR-324-5p,hsa-miR-431-3p,hsa-miR-196a-5p,hsa-miR-6887-3p,hsa-miR-6810-3p,hsa-miR-29a-3p,hsa-miR-182-5p,hsa-miR-7113-3p,hsa-miR-3663-5p,hsa-miR-671-3p,hsa-miR-616-3p,hsa-miR-211-3p,hsa-miR-579-5p,hsa-miR-146b-3p,hsa-miR-31-3p,hsa-miR-1180-3p,hsa-miR-1269b,hsa-miR-6895-3p,hsa-miR-770-5p,hsa-miR-222-3p,hsa-miR-4646-3p,hsa-miR-148b-3p,hsa-miR-4428,hsa-miR-660-5p,hsa-miR-3150a-5p,hsa-miR-3167,hsa-miR-7157-5p,hsa-miR-3591-3p,hsa-miR-501-5p,hsa-miR-6864-5p,hsa-miR-3612,hsa-miR-449c-5p,hsa-miR-27a-3p,hsa-miR-148a-3p,hsa-miR-6830-3p,hsa-miR-4798-5p,hsa-miR-203b-5p,hsa-miR-6759-5p,hsa-miR-515-3p,hsa-miR-6884-5p,hsa-miR-30e-5p,hsa-miR-337-5p,hsa-miR-488-5p,hsa-miR-146b-5p,hsa-miR-125b-2-3p,hsa-miR-4536-3p,hsa-miR-27b-3p,hsa-miR-1248,hsa-miR-6852-3p,hsa-miR-101-5p,hsa-miR-455-5p,hsa-miR-1185-1-3p,hsa-miR-4667-3p,hsa-miR-1297,hsa-miR-548m,hsa-miR-4286,hsa-miR-576-5p,hsa-miR-873-5p,hsa-miR-3667-5p,hsa-miR-210-3p,hsa-miR-4659a-5p,hsa-miR-4476,hsa-miR-1291,hsa-miR-34c-3p,hsa-miR-370-5p,hsa-miR-423-3p,hsa-let-7d-3p,hsa-miR-3182,hsa-miR-345-3p,hsa-miR-504-5p,hsa-miR-3681-5p,hsa-miR-26a-2-3p,hsa-miR-6515-3p,hsa-miR-339-3p,hsa-miR-6818-5p,hsa-miR-4714-3p,hsa-miR-7845-5p,hsa-miR-6881-3p,hsa-miR-653-3p,hsa-miR-152-3p,hsa-miR-3168,hsa-miR-92a-1-5p,hsa-miR-4999-5p,hsa-miR-3684,hsa-miR-377-3p,hsa-miR-1910-5p,hsa-miR-6846-3p,hsa-miR-4444,hsa-miR-10b-5p,hsa-miR-155-5p,hsa-miR-520a-5p,hsa-miR-202-5p,hsa-miR-487a-3p,hsa-miR-6826-3p,hsa-miR-365a-5p,hsa-miR-652-5p,hsa-miR-518b,hsa-miR-3130-3p,hsa-miR-320b,hsa-miR-5010-3p,hsa-miR-6866-5p,hsa-miR-1197,hsa-miR-7-1-3p,hsa-miR-452-3p,hsa-miR-92b-3p,hsa-miR-629-3p,hsa-miR-1185-2-3p,hsa-miR-194-5p,hsa-miR-5001-3p,hsa-miR-362-3p,hsa-miR-3202,hsa-miR-4787-3p,hsa-miR-214-5p,hsa-miR-485-3p,hsa-miR-6838-5p,hsa-miR-2681-3p,hsa-miR-6729-5p,hsa-miR-4635,hsa-let-7a-3p,hsa-miR-548l,hsa-miR-24-1-5p,hsa-miR-3925-3p,hsa-miR-191-3p,hsa-miR-326,hsa-miR-3613-5p,hsa-miR-6862-3p,hsa-miR-3911,hsa-miR-5699-5p,hsa-miR-4639-3p,hsa-miR-199a-3p,hsa-miR-149-3p,hsa-miR-3140-3p,hsa-miR-483-3p,hsa-miR-642b-5p,hsa-miR-514a-5p,hsa-miR-6812-3p,hsa-miR-193a-3p,hsa-miR-520b,hsa-miR-6792-3p,hsa-miR-3934-3p,hsa-miR-520c-3p,hsa-miR-578,hsa-miR-664b-3p,hsa-miR-4677-5p,hsa-miR-3656,hsa-miR-3192-5p,hsa-miR-135b-5p,hsa-miR-26a-1-3p,hsa-miR-6739-3p,hsa-miR-6747-3p,hsa-miR-5001-5p,hsa-miR-23c,hsa-miR-3664-3p,hsa-miR-1269a,hsa-miR-3912-3p,hsa-miR-3125,hsa-miR-502-3p,hsa-miR-548ap-3p,hsa-miR-585-3p,hsa-miR-194-3p,hsa-miR-4510,hsa-miR-4524a-3p,hsa-miR-486-3p,hsa-miR-3176,hsa-miR-196b-5p,hsa-miR-6844,hsa-miR-154-3p,hsa-miR-6794-3p,hsa-miR-1307-3p,hsa-miR-195-5p,hsa-miR-5695,hsa-miR-224-5p,hsa-miR-222-5p,hsa-miR-3622a-5p,hsa-miR-6891-5p,hsa-miR-7706,Disese Group
sample_38,1.0,33.0,32.0,349.0,1118.0,10.0,3.5,245438.83,35.5,603.83,71566.16,19018.25,4606.33,34589.33,3030.83,12.33,26.0,1971327.19,186.0,379.0,7.0,24.0,177197.0,10.5,2393.33,211.0,337.5,20.0,3.0,310049.83,3733982.41,3.0,7.0,273.0,27.08,226.25,4.0,141.83,168.0,10198.5,0.0,51.0,104.33,1403.25,14.83,44660.33,3.0,4732.0,4.5,13.0,1.0,115.0,68.5,7.0,33.0,1.0,4554.17,31688.0,1.0,47.0,629.33,0.33,0.0,5.0,42033.33,334.0,406.0,9591.5,1700.5,65.0,87690.67,5.0,0.83,191.58,966.0,151.0,14.0,7.33,8.0,8.58,1117.17,562.5,0.0,9271.25,0.75,0.0,174.33,8.0,52.0,3968.87,769.0,1.33,12.0,1282.33,5.0,524.5,33.0,4041.0,1.0,7.0,4.25,169.0,15.0,12495.0,0.58,24.0,223.0,4.0,194.0,45.0,3.0,3.0,116.0,1123.0,1.0,4.0,193.0,3.0,12.0,18.0,7.0,6.0,990.32,246.83,68.5,66.0,2676.67,3.0,6709.0,34.5,39.0,11164.5,52.5,39.0,11.0,21.0,18.0,4094.33,1.0,24.0,1.0,0.0,1076.0,23.5,15.5,3.0,375.0,452.0,329.0,0.0,5.0,30.0,2.0,3730.94,4.0,17.0,12.0,502.08,2.01,1.0,3.0,0.25,3.0,0.0,0.25,2.0,103.0,8.0,0.0,19.0,5788.17,72.0,11.0,95.0,3.0,1.0,4.0,8.0,78.0,82.75,491.08,0.0,45.0,59.5,2.0,7.25,1814.34,16.0,5.0,1.0,55.0,52.5,2746.0,11202.0,16.17,122.0,1.0,14.0,1.0,105.0,0
sample_39,7.0,43.5,29.0,187.0,651.33,7.0,1.0,246570.5,68.5,442.0,53491.0,10513.83,3614.92,34098.67,2123.5,17.0,7.0,1665552.5,179.0,214.0,12.0,23.0,279148.17,12.83,1401.0,193.0,57.0,26.75,2.0,392996.25,2345151.25,4.0,2.0,298.0,24.0,162.5,5.0,160.33,389.0,5088.0,0.0,27.5,92.5,1209.75,2.83,30615.67,1.0,5200.0,3.5,1.0,3.0,133.0,30.0,2.0,17.0,0.0,4414.92,21105.33,0.0,53.5,494.0,0.0,1.0,7.0,40618.92,224.33,413.0,13283.25,2376.67,49.0,61344.33,22.0,0.25,159.5,855.0,112.33,7.0,3.33,2.0,6.58,1085.08,503.5,0.0,8950.33,0.0,0.0,122.33,11.0,44.0,2720.83,479.0,19.5,12.0,1158.0,3.0,413.5,16.5,3382.5,1.0,10.0,5.25,61.0,11.0,9764.17,1.0,17.0,99.0,11.0,275.5,16.0,1.0,4.5,22.0,768.0,4.0,0.0,155.0,0.0,9.33,26.0,4.0,2.0,577.0,144.67,61.0,25.0,1290.75,9.0,4593.5,29.0,51.33,7349.34,63.0,34.0,3.66,31.0,8.5,3016.0,2.0,15.5,1.0,2.0,989.0,20.5,8.0,0.0,265.0,286.58,272.5,0.0,1.0,31.5,0.0,1097.98,2.0,10.0,16.5,212.12,6.99,0.0,5.0,1.0,4.0,0.0,1.0,6.0,60.0,13.0,0.0,19.0,3738.0,48.0,12.0,65.5,4.0,3.0,3.0,7.0,74.0,164.83,426.83,0.0,108.0,50.0,0.0,3.25,1614.66,8.0,0.0,0.0,43.0,26.5,1888.0,6731.5,24.83,518.0,2.0,13.5,0.0,54.0,0
sample_40,4.0,68.0,221.0,258.0,1182.5,9.0,2.0,83164.17,36.0,205.0,17461.16,7293.0,454.67,51928.0,1873.5,3.5,13.0,994403.21,90.0,253.5,3.0,15.0,138816.17,9.0,1906.0,143.0,3.0,25.33,2.0,309952.5,2657405.08,2.0,3.0,73.5,18.0,72.17,4.0,47.83,286.0,1631.0,0.0,7.0,75.5,347.0,5.33,42798.17,2.0,3766.0,1.5,4.0,2.0,81.75,19.0,5.0,0.0,0.0,6562.5,23901.0,1.0,20.0,924.83,0.0,0.0,1.0,45740.42,380.0,426.5,3083.0,174.5,50.0,123729.25,8.0,0.0,195.0,516.0,172.5,11.0,1.67,6.0,4.75,341.83,725.5,0.0,14741.25,0.0,0.0,124.0,1.0,59.0,791.25,879.0,1.33,15.0,823.0,3.5,780.0,14.0,2001.0,1.0,11.0,0.0,31.0,17.0,11317.83,0.33,9.0,93.5,2.0,87.0,41.0,0.0,3.0,9.0,231.0,1.0,2.0,108.5,3.0,3.0,11.0,15.0,5.0,121.34,65.5,25.0,47.5,2510.17,8.0,1005.5,36.0,56.5,10783.5,17.0,27.0,4.0,13.0,16.67,3342.0,1.0,26.0,1.0,1.0,2256.34,4.0,4.5,0.0,250.0,198.58,319.25,2.0,0.0,40.5,2.0,1399.64,4.0,2.0,1.5,91.5,0.0,8.0,3.0,0.0,0.0,2.0,0.0,3.0,49.5,6.0,0.0,9.0,1889.0,42.0,8.0,31.0,6.0,4.0,13.0,4.0,65.0,5.0,182.17,0.0,47.0,34.0,0.0,7.75,431.84,2.0,1.0,4.0,21.0,24.5,746.0,6155.5,6.0,116.0,0.0,2.5,0.0,46.0,0
sample_41,6.0,24.0,31.0,381.5,1100.0,14.0,4.5,98027.42,41.0,248.83,23051.66,11418.33,575.83,38890.67,3398.5,9.0,21.5,1278626.4,659.5,245.0,5.0,47.0,128714.67,15.0,4897.5,797.33,75.0,6.0,3.0,320475.33,3482748.25,10.0,16.0,225.5,13.0,285.42,8.0,105.75,146.0,3412.0,3.75,64.0,79.0,792.5,12.5,50796.83,6.0,4135.5,1.0,10.5,7.5,216.5,46.0,9.0,2.0,3.0,11893.75,25921.5,2.0,26.0,914.04,0.0,0.0,2.0,47290.67,639.5,437.0,3369.33,236.0,66.0,190905.75,5.0,0.5,214.0,519.5,447.5,10.0,8.17,3.0,4.0,366.58,1054.17,0.0,30864.5,0.5,0.0,230.33,9.0,293.0,2031.0,2214.0,1.0,21.0,1242.33,4.0,1324.0,7.0,3415.33,3.0,13.0,2.25,62.0,35.0,17835.17,0.0,30.0,103.5,3.0,41.0,67.0,1.0,3.0,59.0,905.0,3.0,2.0,200.83,4.0,24.0,16.0,14.0,5.5,272.34,100.0,25.0,170.0,3522.5,2.0,1508.5,42.5,111.0,11769.16,21.0,22.0,12.0,37.0,14.5,7414.5,2.0,43.0,0.0,1.0,1875.0,2.0,6.33,2.0,592.75,547.0,362.75,3.0,2.33,45.0,3.0,1823.64,14.67,14.0,10.0,213.25,3.99,12.0,2.0,0.67,6.0,0.0,0.67,3.0,41.0,11.0,0.0,22.0,3248.17,102.0,7.0,85.5,6.0,3.0,8.0,7.0,60.0,87.5,365.33,0.0,42.0,92.5,1.0,16.75,930.49,2.0,5.0,7.0,53.0,64.5,2080.0,5684.92,14.83,153.0,1.0,8.5,3.0,103.0,1
sample_42,10.0,17.0,16.5,387.0,1532.0,10.0,1.0,115119.67,67.0,307.83,22959.5,14721.58,942.42,55546.08,3781.83,6.5,56.5,1473476.69,524.0,235.0,14.0,38.33,185114.0,13.0,5203.5,938.5,17.0,11.0,1.0,421321.08,3965192.67,8.0,13.0,192.5,29.83,291.5,10.0,88.0,185.0,2619.5,3.25,17.0,80.0,912.25,11.0,59170.33,3.0,5015.5,2.5,5.0,3.0,328.75,54.0,12.0,5.0,0.0,16755.58,26024.0,1.0,39.0,1232.92,1.0,2.0,5.0,67853.83,819.5,541.33,3195.83,210.5,76.34,235243.25,9.0,0.25,297.5,491.0,562.0,19.0,6.75,4.5,1.0,466.67,1536.5,0.0,39606.5,1.0,0.0,232.25,17.0,380.0,1664.58,1875.0,0.67,26.0,795.33,4.0,1307.83,11.0,2065.5,7.0,13.5,4.25,74.5,42.5,17532.17,1.0,19.0,117.5,6.0,72.0,63.0,0.0,7.66,30.5,844.0,4.0,3.0,214.0,26.0,10.0,9.0,16.0,11.5,243.34,85.0,24.0,346.0,6166.33,2.0,1938.33,48.17,119.0,15443.0,28.0,23.0,11.0,25.0,22.5,6121.5,3.0,61.5,0.0,1.0,2573.16,5.5,9.5,4.0,665.5,602.75,317.0,0.0,1.0,54.83,5.0,2679.46,5.0,7.0,18.83,128.75,0.0,22.0,1.0,0.92,2.0,0.0,0.92,8.0,45.5,10.0,0.0,18.0,2843.83,138.0,18.5,61.5,3.0,3.0,9.0,6.0,88.0,87.0,320.17,0.0,44.0,106.0,1.0,15.75,1157.34,4.0,0.0,4.0,68.0,49.5,1852.0,6698.17,17.67,110.0,2.0,6.0,1.0,121.5,1
sample_43,12.5,26.0,12.0,475.0,2095.83,12.0,1.0,92052.42,29.0,264.0,16219.66,11245.42,328.17,54698.0,3003.33,6.5,12.0,1288680.22,296.0,292.5,10.0,39.0,147548.0,18.83,4883.0,621.0,271.0,9.0,4.0,386260.67,3384813.17,6.5,5.0,177.5,11.0,176.83,7.0,88.0,276.0,1880.0,0.0,23.0,107.33,1134.5,6.5,54186.33,5.0,4303.5,2.0,9.0,1.0,265.42,38.5,10.0,5.0,0.0,11331.08,34862.0,0.0,24.0,864.83,0.0,4.0,4.0,44111.0,558.0,439.5,2810.5,176.58,75.66,230899.33,7.0,1.0,239.5,506.0,404.5,12.0,5.42,4.0,0.75,285.33,1175.17,0.0,29874.5,0.5,1.0,205.33,2.0,218.0,1218.67,1886.0,0.33,12.0,1855.0,3.0,933.5,6.0,2737.33,1.0,13.0,1.0,51.0,25.5,17893.5,0.83,16.0,202.0,1.0,39.0,72.0,0.0,3.34,23.0,818.0,6.0,3.0,208.5,1.0,10.5,10.0,27.0,4.5,164.66,77.0,30.0,215.0,3489.83,3.0,1049.5,60.0,81.5,12204.34,17.0,25.0,9.0,26.0,19.5,4641.0,2.0,37.67,0.0,2.0,1873.5,5.0,9.5,3.0,575.33,491.42,319.92,1.0,2.0,32.0,3.0,2442.46,0.0,2.0,3.33,122.5,0.0,7.0,2.0,0.67,0.0,1.0,0.67,1.0,61.0,3.0,0.0,18.0,3125.67,77.0,8.0,45.0,2.0,1.0,6.0,8.0,75.0,78.0,246.58,0.0,57.5,67.5,0.0,10.62,728.34,1.0,2.0,5.0,82.0,36.0,1482.0,5702.83,17.33,101.0,5.0,5.0,0.0,50.83,1
sample_44,6.0,20.0,26.0,247.0,865.0,4.0,5.0,113001.58,74.0,488.33,52934.66,13407.42,2470.83,28927.75,2812.0,17.5,13.33,1134429.83,213.0,143.0,13.0,47.0,218037.67,8.0,1853.5,539.0,7.0,8.5,2.0,410805.42,2946029.33,2.0,4.0,224.0,23.5,83.0,10.0,44.0,133.0,5351.5,0.0,13.0,72.0,571.5,10.92,38586.5,0.0,6065.5,2.0,10.0,3.0,136.25,42.0,7.0,25.0,1.0,4394.08,14291.33,2.0,37.0,532.58,0.0,0.0,3.0,56320.92,597.5,308.5,5766.83,1711.0,50.5,68978.83,10.0,1.25,192.0,535.5,226.83,10.33,2.92,3.0,0.5,1093.42,651.17,1.0,9395.0,0.0,0.0,77.25,5.0,106.0,2380.21,463.0,2.67,17.0,403.33,4.0,395.5,24.0,2906.5,1.0,4.0,0.58,116.5,6.0,9071.33,0.0,8.0,89.5,9.0,273.0,17.0,4.0,4.34,27.0,1461.0,0.0,5.0,169.0,0.0,20.0,13.0,2.0,1.0,458.5,163.5,50.0,349.0,1906.92,2.0,4506.83,13.0,42.83,8169.84,32.0,42.0,6.0,13.0,2.0,4465.5,0.0,18.0,0.0,3.0,950.34,14.5,12.25,2.0,309.0,530.33,255.58,0.0,0.0,48.5,3.0,2430.46,2.0,9.0,2.5,106.58,3.0,5.0,3.0,0.33,0.0,0.0,0.33,3.0,81.0,2.0,0.0,6.0,4085.5,31.0,12.0,94.0,2.0,3.0,2.0,10.0,40.0,56.5,351.67,0.25,133.0,47.0,0.0,5.5,1961.16,9.0,0.0,3.0,32.0,31.5,2322.5,3895.33,7.0,58.0,1.0,4.0,1.0,66.0,1
sample_46,18.5,26.5,162.0,307.0,1404.0,10.0,2.25,84586.67,37.0,243.83,17707.16,12192.67,382.67,62252.42,3325.5,6.5,17.5,1104152.52,405.5,279.5,13.0,41.0,141212.83,11.0,5060.83,762.0,18.0,8.0,4.0,396716.42,2924443.5,2.0,6.0,155.25,21.0,230.83,6.0,70.0,231.5,2269.0,0.5,30.0,153.0,873.0,13.17,45424.58,0.0,4215.0,3.0,7.0,2.0,244.0,38.0,14.0,7.0,0.0,18764.42,21714.0,1.0,35.0,1366.58,1.0,0.0,1.0,49369.33,678.17,548.83,2554.75,173.5,84.5,226807.0,6.0,0.0,326.5,420.33,443.83,9.5,5.83,7.0,3.17,363.17,1413.67,0.0,38113.0,0.5,0.0,311.25,6.0,256.0,1260.5,2142.0,2.0,20.0,1056.17,3.0,1494.67,15.0,3480.0,2.0,9.0,8.5,59.0,9.0,16682.83,1.0,13.0,92.0,2.0,57.0,93.0,2.0,7.66,34.0,897.0,6.0,3.0,199.0,4.0,16.0,16.0,33.0,3.5,226.0,84.0,23.0,271.5,5256.17,4.0,1068.5,43.5,87.83,13722.66,16.0,32.0,10.66,37.0,19.5,6810.5,2.0,50.5,0.0,1.0,2645.34,12.0,8.5,4.0,579.0,692.33,326.92,0.0,0.0,36.0,2.0,1549.14,2.5,4.0,0.0,207.04,3.0,15.0,2.0,1.33,1.0,0.0,1.33,8.0,49.5,2.0,0.0,18.0,2405.0,110.5,3.0,55.5,0.0,5.0,9.0,13.0,82.0,8.0,241.58,0.0,66.5,70.0,1.0,15.88,740.58,1.0,3.0,5.0,57.0,46.5,1288.0,6541.0,14.67,113.0,1.0,13.0,1.0,65.0,1
sample_47,4.0,48.0,6.0,381.0,1798.5,5.0,0.5,103398.58,65.0,362.83,16788.0,14948.83,518.25,63746.0,3325.0,10.5,8.0,1268156.49,201.0,184.5,11.0,11.0,152073.0,15.5,3879.33,444.0,13.5,11.0,1.0,395553.17,3173201.25,2.0,5.0,140.83,9.0,162.92,12.0,46.0,164.0,2228.0,0.0,17.0,113.0,704.0,2.5,57867.83,1.0,4942.0,2.0,6.0,2.0,121.5,37.0,10.0,12.0,0.0,11775.58,27506.5,2.0,31.0,456.83,1.0,3.0,5.0,55533.08,790.5,514.5,3191.5,256.5,68.24,161068.92,23.0,0.25,330.33,407.0,188.5,12.5,6.92,10.5,1.83,375.08,1127.08,1.0,33794.75,0.5,0.0,151.25,3.0,178.0,1012.67,1142.0,0.67,30.0,736.0,4.0,1301.83,6.0,3180.0,2.0,14.0,3.0,48.0,25.5,13610.33,0.67,17.0,91.5,0.0,79.0,45.0,2.0,7.34,10.0,1104.0,1.0,2.0,151.0,0.0,3.0,27.0,10.0,4.5,238.34,93.33,25.0,143.0,4345.17,7.0,949.0,35.0,39.5,15356.0,15.0,36.0,7.0,25.0,14.5,3745.0,3.0,62.0,0.0,2.0,2440.5,8.0,8.5,1.0,403.0,433.67,424.25,0.0,0.0,45.5,3.0,2617.46,3.0,9.0,0.0,118.75,5.01,6.0,5.0,1.0,0.0,0.0,1.0,8.0,47.5,5.0,0.0,13.0,4311.67,75.0,4.0,38.5,4.0,4.0,9.0,2.5,73.0,3.0,216.17,0.0,23.0,56.5,0.0,12.25,574.5,2.0,5.0,2.0,35.0,50.0,988.0,6287.5,15.0,105.0,2.0,5.0,0.0,52.0,1
sample_48,22.0,33.0,37.0,407.0,1615.33,7.0,2.33,97773.33,21.0,487.17,23338.0,14904.67,584.17,65661.83,4010.92,15.5,3.0,1476603.36,201.5,197.0,11.0,26.0,157991.0,13.33,3529.33,388.0,46.5,6.0,2.0,404798.5,3689626.83,2.0,9.0,128.58,18.17,151.67,7.0,57.0,254.0,2704.5,2.17,20.0,134.0,955.0,8.17,62314.67,4.0,5237.0,2.0,9.0,2.0,126.0,35.0,7.0,3.0,0.0,9158.17,23915.0,3.0,18.0,1368.46,0.0,1.5,2.0,67330.0,609.5,593.5,3542.33,235.83,114.0,155624.67,4.0,0.25,441.17,449.5,283.0,12.5,5.83,7.83,2.75,516.17,1164.42,0.0,31897.58,1.0,0.0,115.0,3.0,190.5,1423.83,1518.0,0.33,10.0,1255.17,5.0,1250.67,15.0,3886.0,1.0,12.0,0.75,59.0,10.0,14837.33,0.33,11.0,118.5,3.0,85.0,76.0,0.0,7.0,46.0,675.33,1.0,2.0,122.0,3.0,11.0,19.5,13.0,4.84,241.34,111.0,38.0,128.0,4171.83,7.0,1221.0,35.0,53.0,19743.84,13.0,49.0,3.66,21.5,24.0,4289.5,3.0,35.5,0.0,2.0,2282.34,1.5,4.5,1.0,430.0,444.42,363.25,1.0,2.0,46.0,1.0,2644.46,4.0,5.0,6.5,268.12,2.01,15.0,1.0,0.58,1.5,0.0,0.58,7.0,51.0,5.0,0.0,13.0,4487.5,82.0,4.0,49.0,0.0,2.0,7.0,1.0,84.0,2.5,258.58,0.0,149.0,88.5,3.0,8.92,542.84,5.0,2.0,1.0,32.0,46.0,1111.0,5258.83,11.0,64.0,2.0,3.5,0.0,129.0,1
sample_49,28.0,55.0,8.0,543.0,3044.0,24.0,1.5,133960.42,29.0,352.0,16050.0,18559.75,398.25,137135.67,5223.5,11.33,7.0,1496229.11,238.0,704.0,20.0,29.0,246366.5,23.0,6197.0,577.0,50.0,11.0,4.0,593074.83,4061270.58,1.5,8.0,135.0,21.33,238.08,8.0,77.5,421.0,1656.0,0.0,38.0,158.0,861.5,9.67,77270.0,1.0,7154.0,3.5,6.0,4.0,302.42,44.0,10.0,4.0,3.0,29721.92,43013.0,0.0,47.0,954.29,1.0,5.0,10.0,83142.67,1571.67,641.33,5145.0,248.0,108.25,328692.92,8.0,1.33,488.33,779.0,445.0,15.33,7.75,9.0,2.75,446.75,1542.67,0.0,54622.08,0.67,1.0,136.0,8.0,365.0,881.75,1627.5,0.67,23.0,756.0,16.0,2350.17,17.0,3876.92,4.0,19.0,4.0,55.0,77.5,29353.5,0.0,13.0,342.33,0.0,87.5,71.0,0.0,11.0,23.0,868.0,4.0,9.0,276.0,1.0,5.0,35.0,15.0,1.5,256.16,95.5,28.0,359.0,6709.33,13.0,878.5,79.83,103.0,25977.5,17.0,66.0,10.66,35.0,20.5,4113.5,2.0,103.33,0.0,3.0,5570.34,5.0,16.0,4.0,636.5,721.5,387.17,1.0,0.0,64.0,6.0,1798.48,3.0,5.5,3.0,132.25,6.0,7.0,3.0,2.17,0.0,1.0,2.17,11.0,89.83,2.0,0.0,15.5,4574.33,159.67,6.0,39.5,4.0,2.0,22.5,23.0,102.0,65.0,277.0,0.0,106.0,79.5,1.0,23.67,470.84,4.0,5.0,5.0,65.0,55.5,996.0,8321.5,18.5,182.0,3.0,6.5,0.0,79.0,1
sample_50,19.5,36.0,12.0,465.0,2421.5,16.0,1.33,89313.92,77.0,293.0,16872.34,11348.42,241.33,162002.42,3897.5,5.5,28.5,1028619.51,317.0,432.5,9.0,27.0,188156.0,18.5,5423.33,658.0,15.0,10.0,3.0,607294.0,3950454.83,0.5,6.0,113.0,14.5,226.42,9.0,66.0,521.5,1471.5,3.75,19.0,148.0,992.75,5.83,64383.75,3.0,6538.5,2.0,2.0,3.0,374.0,32.0,9.0,5.0,0.0,29139.08,25056.5,2.0,18.0,961.67,0.0,5.0,1.0,77595.58,1174.17,933.5,3514.25,166.5,103.84,269311.0,25.0,0.25,680.75,627.0,558.5,16.0,7.08,12.5,1.58,369.08,2038.42,1.0,58649.5,0.75,0.0,280.67,4.0,309.0,779.25,1296.0,3.33,32.0,581.5,4.0,2230.67,13.0,3058.33,5.0,6.0,4.67,60.0,46.5,19458.17,0.5,19.0,313.5,0.0,121.0,66.0,3.0,2.34,29.0,506.0,12.5,5.0,228.0,3.0,10.33,26.0,65.0,6.0,159.33,146.5,23.0,583.0,7458.0,7.0,986.5,59.5,86.5,22023.0,15.0,69.0,4.66,26.0,24.25,5015.5,7.0,64.0,0.0,2.0,5728.5,10.0,7.08,1.0,646.0,609.17,518.25,2.0,4.0,41.5,3.0,2156.14,1.0,8.0,2.5,128.0,3.0,4.0,5.0,1.92,0.0,0.0,1.92,11.0,66.67,6.5,0.0,19.0,3410.33,148.83,8.0,27.0,4.0,2.0,18.0,0.0,119.0,121.5,218.75,0.0,59.5,67.0,0.0,34.5,461.66,4.0,4.0,12.0,72.0,61.5,749.0,8185.33,29.67,78.0,1.0,3.0,1.33,45.0,1
sample_51,13.0,36.0,19.0,501.0,2818.5,22.0,2.5,110700.83,70.0,281.5,27620.66,10375.92,379.92,137310.67,4432.17,5.75,28.0,1344007.7,225.5,856.5,23.0,20.0,221018.0,22.5,4968.83,362.5,60.5,17.0,2.0,579259.42,4692125.0,2.0,24.0,104.5,19.67,136.0,8.0,128.67,425.5,2677.0,1.5,53.5,108.0,964.75,12.33,66861.33,4.0,5454.0,2.0,8.0,4.0,177.0,56.0,10.0,3.25,2.0,24561.58,29543.5,3.0,39.0,1638.17,0.0,1.0,2.0,77818.17,1191.0,758.83,6356.25,231.0,119.08,259458.08,10.0,0.0,450.5,1032.25,376.5,13.0,9.08,15.5,6.25,444.83,1729.0,0.0,87277.58,0.75,1.0,196.25,1.0,123.0,1317.79,1816.5,1.33,36.0,1488.0,7.0,2461.0,20.0,4432.33,7.0,18.0,1.5,76.0,65.5,23367.67,0.33,32.0,134.0,5.0,91.0,97.0,0.0,8.34,36.0,839.0,2.0,3.0,200.0,6.0,2.0,40.0,26.0,6.0,251.0,109.5,17.5,131.0,6249.0,15.0,1362.0,69.5,98.5,21781.84,23.0,58.5,9.0,40.0,34.67,4777.5,1.0,49.0,1.5,3.0,5156.34,4.0,9.0,3.0,676.0,475.33,741.92,2.0,0.33,50.5,2.0,2388.46,4.0,7.0,9.67,478.33,3.75,10.5,0.0,1.33,3.0,5.0,1.33,11.33,82.5,20.0,0.0,24.0,2560.83,224.5,12.0,46.0,2.0,4.0,12.0,3.0,108.0,99.5,282.25,0.0,39.0,92.0,0.0,23.25,526.17,3.0,6.0,10.0,49.0,74.0,1376.0,13567.42,33.17,268.0,2.0,13.5,1.33,81.0,1
